"Generated Summary","Reference Summary"
"This story was originally published on CBC News.","Loretta Reinholdt, 54, and Andy Wasinger, 46, were on on a hired sailboat with a captain when they were attacked.
Four men with guns and knives boarded the boat, demanded money and threatened the trio after waving down the sailboat by asking for gas.
The men then pushed the sailboat to shore, cut the sail and took supplies.
Couple and captain were stranded on remote beach for four days.
After being saved by hikers who saw their SOS signals, they were taken to near town and met Honduras president who flew couple to Mexico.
Canada has advisory information about traveling to Honduras on their government website."
" MARTINEZ. 15. JENNIFER LEWIS. 16. JONATHAN MARTIN. 17. KARL WILSON. 18. KATHLEEN WILTON. 19. KEVIN WOLF. 20. JEFFREY WOLVERINE. 21. JIMMY JOHNSON. 22. LISA WILBERG. 23. JAMES WILKINS. 24. JEREMY WILTER. 25. KENNETH WILLEY. 26. KELISSA WILVER. 27. KELLY W","Hollywood Reporter released their annual stylist list.
Three stylists to Australian actors Naomi Watts, Cate Blanchett and Margot Robbie feature.
Elizabeth Stewart is No.6, Cristina Ehrlich no.8, and Jeanann Williams no.9."
"I'm not sure if Barnes is the only one who has been inspired by the likes of Redknapp and Barnes. In fact, it's probably the only time I've ever heard the duo sing together. Barnes has also been involved in a number of other music videos, including his own video for the song ""I Don't Know What I'm Talking About"" and his own song for the BBC Radio 4 documentary ""The World Is Not Enough"". He's also a member of the British Football Association (BFA) and has played for the club's youth teams.","John Barnes appeared as a guest on Sky's A League Of Their Own show.
The 51-year-old rapped 1979 classic Rapper's Delight as part of a sketch.
Barnes' ex-Liverpool team-mate Jamie Redknapp joins in halfway through.
Barnes featured on Anfield Rap and World in Motion in the past."
"The Oscar II is the world's most powerful nuclear submarine. It has a range of 1,500 nautical miles (2,000 km). It was built in the 1960s and was commissioned by the Soviet Union in the late 1960s. It is the second-most powerful submarine in the world, after the U.S. Navy's USS Carl Vinson. The ship is the only one of its type to have a nuclear warhead. It can carry a warhead of up to 1,800 pounds (1,500 kilograms) and can carry up to 2,000 pounds (3,000 kilograms) of cruise missiles.","Officials insist there were no weapons on board and atomic reactor is safe.
Fire had started during welding, causing insulation materials to catch fire.
The Russian nuclear submarine was submerged to extinguish the fire."
" didn't go in for the likes of Diego Costa (right) because they were looking for a player who could help them win the league and Champions League. They didn't want to spend £15m on a player with a poor start to his career, but they did go in because they wanted a player that could help the team win the title. City's decision to go in to buy a player such as Angel Di Maria is a sign that they are not going to be able to compete with the best teams in Europe. They are going to have to find a way to win the Champions league and Europa League. That's why they are","Manchester United 4-2 Manchester City: Click here to read the match report.
Manuel Pellegrini has orchestrated a limp Premier League title defence.
City didn't go for Diego Costa, Cesc Fabregas or Angel di Maria.
The are stuck with the likes of Jesus Navas at the Etihad Stadium.
The defending champions must bring in big names to grow as a club.
ADRIAN DURHAM: Louis van Gaal should win manager of the year."
" city of Mosul, the Islamic State group has taken control of most of the country's major cities. The group has also taken over large swathes of Iraq and Syria, including the capital, Baghdad, and the Syrian border town of Deir ez-Zor. The Islamic State has also seized large swatheds of Syria and Iraq, including parts of Iraq, Syria and Lebanon, as well as parts of Lebanon, Jordan and Turkey. In Iraq, the group has seized control of a large number of towns and villages in the north and east, including Kirkuk, Tikrit and Kirkuk. In Syria, it has taken over","Jihadis entered the camp through the nearby Hajar Aswad neighborhood.
Al Qaeda-linked rebels reportedly opened a closed road for ISIS militants.
Once inside extremists battled a Palestinian group who run the camp.
Terrorists seized control of the majority of the refugee camp, which they are now likely to use as a base from which to Assad."
"In the meantime, she is looking forward to the next round of Wimbledon. 'I think it will be a great tournament for me,' she said.

© ESPN Sports Media Ltd.","Laura Robson has not played since January 2014 due to a wrist problem.
She has had surgery and is now reportedly eyeing a French Open return.
Robson took time out to enjoy some country music at Tortuga Festival."
"The avocado trees are known for their ability to 'transplant' their female parts. The avocado tree, which is known for its ability to transplant its female parts

Professor Warren, who has been studying the avocado trees for more than 20 years, said he was surprised to find that the trees were able to do this.

'I was surprised that they could do this, but I was also surprised to see that they didn't have to do it,' he said.


'It's very unusual to find a tree that can do this.'

The botanists, who have been working on the tree for","Professor John Warren discovered avocado trees switch gender in hours.
The botanist said the tree displays 'unique flowering behaviour'
However, trees are usually successful in avoiding polinating themselves."
" to win at home is clear. They have won three of their last four away games at home, and have won just once in their last five away games in the Championship. But they have not won a league game at home in the last three seasons. They will need to win their last three away games to reach the top of the table, and they will have to do it in a way that is consistent with the spirit of the club.","Captain Lee McCulloch was booed by Rangers supporters last weekend.
McCulloch made an error that led to Raith Rovers hitting the back of the net.
Rangers play league leaders Hearts in the Scottish Championship Saturday."
"The body was found in the parking lot of a home in the 900 block of South Main Street. The body was later found with a gunshot wound to the head, according to the Los Angeles County Coroner's Office. The coroner's office has not released the name of the man who shot the body but said he had been in contact with the victim's family. The victim's mother, who was not present at the scene, told ABC23 that her son was'very upset' about the shooting. ""He was very upset about it,"" she said. ""I don't know what happened to him. I don't even know what","Officer Aaron Stringer, of Bakersfield, California, accused by trainee cop.
Said to have played around with corpse of Ramiro James Villegas, 22.
Villegas had been shot dead by police earlier that day after a car chase.
Trainee officer Lindy DeGeare said Stringer took her into a morgue.
Allegedly said he 'loves playing with dead bodies' and asked her not to tell.
Stringer, who was put on leave, was ultimately not charged by prosecutors.
However, family of Villegas said they are close to filing a suit of their own."
