"Generated Summary","Reference Summary"
"The Liverpool captain has been linked with a move to Manchester United for the next few months, but he has yet to make an appearance in the Premier League this season. He has also not played in a Premier League game this season and has not scored a goal in his last five Premier League appearances.","Liverpool lost 2-1 to Aston Villa in the FA Cup semi-final at Wembley.
Steven Gerrard's dream of making the FA Cup final were shattered.
Gerrard started the game in an advanced role behind Raheem Sterling.
The first half largely passed Gerrard by at Wembley.
The Reds midfielder, however, almost snatched an equaliser at the death."
"This article was originally published on The Conversation. Read the original article","Police caught baggage handlers at Miami International Airport stealing from passenger luggage after installing a hidden camera.
This as it is revealed that airline customers have reported $2.5million in lost property from 2010 to 2014.
31 employees have been arrested for theft at Miami International Airport since 2012, including six this year.
There have been 30,621 claims of missing valuables since 2010, with most claims coming from John F. Kennedy Airport in New York.
Since 2002, the TSA has fired 513 workers for theft, though it is now known how many of them faced criminal charges.
Last year, 16 employees at Los Angeles International Airport were fired for theft after police searched their homes and found luxury items."
"This is the first time that I have been able to capture a photograph of a skyscraper. I have always been fascinated by the idea of building a new world, and I am very happy to be able to share my work with you. I hope that you will enjoy my work as much as I do, and if you have any questions or comments, please feel free to contact me.","French artist Thomas Lamadieu combines photography and illustration to create clever imagery.
He takes photographs of the sky in urban locations around the world.
The buildings in the photographs act as a frame for him to draw on abstract illustrations."
" the Royal Canadian Legion was the Queen's arrival at the venue. She was greeted by the Canadian Legion's Chief of Staff, Major-General John C. Macdonald, who was present at the ceremony. The Legion's chief of staff, Major General John Macdonald (pictured left), was present during the ceremony. The Legion is the only Canadian military unit in the world dedicated to the defence of Canada. It was founded in 1914 and has been in service since the end of World War I. It is one of Canada's oldest and most important military units. The legion has served as a liaison between Canada and the United States for more than","The Queen attends reception as part of First World War commemorations.
She was joined by her husband the Duke of Edinburgh at London event.
At reception, Her Majesty posed with Calgary Highlanders dressed in kilts."
"The court heard that Franklin, who had been in prison for five years, had been living a lavish life at the expense of his wife and children. The court heard he had spent £100,000 of his own money on his wedding, honeymoon and wedding cake. He had also spent £50,000 on his honeymoon, which he said had been 'a nightmare' for his wife. He said he had been forced to take out a loan of £10,000 from his mother's bank account to buy milk for his children. He also had to borrow £10.5 million from his father's bank accounts to pay his","Kevin Franklin left his 80-year-old victim without any money to buy milk.
Meanwhile fraudster funded dream Alps wedding with eight-years of thefts.
Franklin said he needed money for failing business and after family deaths.
When he was arrested the fraudster had told police: 'I played him'
Jailed for nearly five years despite Franklin saying he's 'terrified' of prison."
" total eclipse was forecast to be in Hobart at 11:45pm, with rain forecast for the rest of the state at 12:00pm. The full moon was also expected to be visible in the city of Hobart on Sunday, April 5. The total moon is the second most visible moon in the solar system, behind only the moon of Jupiter.","The April lunar eclipse turned the moon blood red on Saturday night.
Bad weather ruined viewing chances for Sydney, Brisbane, Hobart, Darwin.
Adelaide and Melbourne had the clearest skies out of all the states.
A lunar eclipse occurs when the moon passes in the shadow of Earth."
" done nothing wrong. I'm just a human being. I don't want to hurt anyone. I just want to help people. I want people to know that I'm a good person and I'm doing what I can to help them.""   He also told the court that he did not intend to harm anyone and that he had no intention of harming anyone. He also said he was not a drug trafficker and was not involved in any drug trafficking. He said he had been in contact with a number of people who were involved in the smuggling operation, but that he was unaware of any of them being involved in drug smuggling. ","Two Australian drug smugglers, part of the Bali Nine, await word whether they'll face a firing squad.
Less is known about the seven other members of the group."
" not for the faint of heart. He said: 'I'm not going to lie to you. I've been doing this for a long time and I've never had a problem with it. It's just a matter of time before I get to the point where I'm going to have to do it again.' He added that he would like to be able to use the internet in the future, but that he has no plans to do so. 'I don't know if I'll ever get to that point,' he said. 'But I'm sure I'll get there.'","Ted Loveday led Gonville and Caius College, Cambridge to the University Challenge title this week.
He became a web sensation after answering 10 different starter questions.
But the law student admits he revised by using YouTube and Wikipedia."
"The Trail Blazers were outrebounded by the Blazers in the first half, but the Blazers were able to get back on the court with a 3-0 run in the second half. The Blazers were up by as many as 10 points in the third quarter, but they were unable to get the ball back in the paint. Portland was able to take the lead in the fourth quarter with a pair of free throws by Kaman and Lopez, but it was the Blazers who took the lead for good in the final quarter. Portland had a chance to tie the game with a layup by Lillard, but Lillard missed with a sprained","Brooklyn Nets beat the Portland Trail Blazers 106-96 in New York.
Brook Lopez scored 32 points for the Nets as they moved into seventh.
Trail Blazers were without LaMarcus Aldridge and a number of others."
"The couple are also planning to travel to the United States in March to celebrate their 'no expense saved’ break.

A spokesman for the Department for Work and Pensions (DWP) said:

""The DWP does not comment on individual cases. However, we are aware of a number of cases in which the DWP has received complaints about the use of taxpayers' money. The DWP is committed to ensuring that taxpayers' funds are used in the most efficient way possible.""","Cheryl Prudham, 33, from Kent, planning to renew vows with husband Rob.
Pair splashing out on hotel, gown, limousine and casino gambling money.
Even wants to try for 13th child there so she can boast it is conceived in LA.
Comes just weeks after pair reunited following split over Mr Prudham's indecent Facebook messages."
